nama_pemain,klub,posisi,umur,market_value,negara,jumlah_goal,jumlah_asis,jumlah_match,url profile
Robert Sánchez,Chelsea,Kiper,27,"Rp347,63Mlyr.",Spanyol,0,0,256,https://img.a.transfermarkt.technology/portrait/header/403151-1695028195.jpg?lm=1
Filip Jørgensen,Chelsea,Kiper,23,"Rp312,87Mlyr.",Denmark,0,0,117,https://img.a.transfermarkt.technology/portrait/header/585323-1718280485.jpg?lm=1
Gabriel Slonina,Chelsea,Kiper,21,"Rp60,84Mlyr.",Amerika Serikat,0,0,100,https://img.a.transfermarkt.technology/portrait/header/656316-1645958054.jpg?lm=1
Levi Colwill,Chelsea,Bek-Tengah,22,"Rp955,99Mlyr.",Inggris,6,8,178,https://img.a.transfermarkt.technology/portrait/header/614258-1694614507.jpg?lm=1
Trevoh Chalobah,Chelsea,Bek-Tengah,26,"Rp556,21Mlyr.",Inggris,19,11,316,https://img.a.transfermarkt.technology/portrait/header/346314-1698937171.jpg?lm=1
Wesley Fofana,Chelsea,Bek-Tengah,24,"Rp434,54Mlyr.",Prancis,5,1,145,https://img.a.transfermarkt.technology/portrait/header/475411-1683899212.jpg?lm=1
Tosin Adarabioyo,Chelsea,Bek-Tengah,28,"Rp347,63Mlyr.",Inggris,14,6,334,https://img.a.transfermarkt.technology/portrait/header/258878-1646903871.jpg?lm=1
Benoît Badiashile,Chelsea,Bek-Tengah,24,"Rp347,63Mlyr.",Prancis,8,5,215,https://img.a.transfermarkt.technology/portrait/header/463603-1714721596.jpg?lm=1
Axel Disasi,Chelsea,Bek-Tengah,27,"Rp312,87Mlyr.",Prancis,24,6,313,https://img.a.transfermarkt.technology/portrait/header/386047-1727785671.jpg?lm=1
Josh Acheampong,Chelsea,Bek-Tengah,19,"Rp260,72Mlyr.",Inggris,6,5,58,https://img.a.transfermarkt.technology/portrait/header/1004708-1715156243.jpg?lm=1
Marc Cucurella,Chelsea,Bek-Kiri,27,"Rp782,17Mlyr.",Spanyol,17,31,349,https://img.a.transfermarkt.technology/portrait/header/284857-1659559729.jpg?lm=1
Jorrel Hato,Chelsea,Bek-Kiri,19,"Rp695,27Mlyr.",Belanda,7,11,166,https://img.a.transfermarkt.technology/portrait/header/904802-1701361717.jpg?lm=1
Reece James,Chelsea,Bek-Kanan,25,"Rp608,36Mlyr.",Inggris,24,43,325,https://img.a.transfermarkt.technology/portrait/header/472423-1683900849.jpg?lm=1
Malo Gusto,Chelsea,Bek-Kanan,22,"Rp608,36Mlyr.",Prancis,2,21,175,https://img.a.transfermarkt.technology/portrait/header/620322-1752061866.jpg?lm=1
Moisés Caicedo,Chelsea,Gel. Bertahan,23,"Rp1.738,16Mlyr.",Ekuador,17,16,214,https://img.a.transfermarkt.technology/portrait/header/687626-1660729724.jpg?lm=1
Roméo Lavia,Chelsea,Gel. Bertahan,21,"Rp608,36Mlyr.",Belgia,3,7,122,https://img.a.transfermarkt.technology/portrait/header/628451-1683898478.jpg?lm=1
Dário Essugo,Chelsea,Gel. Bertahan,20,"Rp347,63Mlyr.",Portugal,1,2,94,https://img.a.transfermarkt.technology/portrait/header/670717-1742314930.jpg?lm=1
Enzo Fernández,Chelsea,Gel. Tengah,24,"Rp1.390,53Mlyr.",Argentina,37,43,242,https://img.a.transfermarkt.technology/portrait/header/648195-1669894717.jpg?lm=1
Andrey Santos,Chelsea,Gel. Tengah,21,"Rp608,36Mlyr.",Brasil,25,6,116,https://img.a.transfermarkt.technology/portrait/header/743600-1732576153.png?lm=1
Cole Palmer,Chelsea,Gel. Serang,23,"Rp2.085,80Mlyr.",Inggris,93,50,206,https://img.a.transfermarkt.technology/portrait/header/568177-1712320986.jpg?lm=1
Facundo Buonanotte,Chelsea,Gel. Serang,20,"Rp347,63Mlyr.",Argentina,16,7,122,https://img.a.transfermarkt.technology/portrait/header/983989-1682588141.jpg?lm=1
Jamie Gittens,Chelsea,Sayap Kiri,21,"Rp782,17Mlyr.",Inggris,29,19,137,https://img.a.transfermarkt.technology/portrait/header/670882-1736780080.jpg?lm=1
Alejandro Garnacho,Chelsea,Sayap Kiri,21,"Rp782,17Mlyr.",Argentina,49,32,204,https://img.a.transfermarkt.technology/portrait/header/811779-1703629085.jpg?lm=1
Tyrique George,Chelsea,Sayap Kiri,19,"Rp347,63Mlyr.",Inggris,25,25,100,https://img.a.transfermarkt.technology/portrait/header/936874-1731016609.jpg?lm=1
Estêvão,Chelsea,Sayap Kanan,18,"Rp1.042,90Mlyr.",Brasil,34,19,112,https://img.a.transfermarkt.technology/portrait/header/1056993-1760493526.jpg?lm=1
Pedro Neto,Chelsea,Sayap Kanan,25,"Rp955,99Mlyr.",Portugal,28,38,218,https://img.a.transfermarkt.technology/portrait/header/487465-1709158892.jpg?lm=1
Raheem Sterling,Chelsea,Sayap Kanan,30,"Rp121,67Mlyr.",Inggris,182,134,599,https://img.a.transfermarkt.technology/portrait/header/134425-1684165974.jpg?lm=1
João Pedro,Chelsea,Depan-Tengah,24,"Rp1.129,81Mlyr.",Brasil,69,23,228,https://img.a.transfermarkt.technology/portrait/header/626724-1724792744.jpg?lm=1
Liam Delap,Chelsea,Depan-Tengah,22,"Rp695,27Mlyr.",Inggris,73,21,188,https://img.a.transfermarkt.technology/portrait/header/610849-1746646306.jpg?lm=1
Marc Guiu,Chelsea,Depan-Tengah,19,"Rp139,05Mlyr.",Spanyol,53,17,53,https://img.a.transfermarkt.technology/portrait/header/938158-1719846394.jpg?lm=1
David Raya,Arsenal,Kiper,30,"Rp695,27Mlyr.",Spanyol,0,0,433,https://img.a.transfermarkt.technology/portrait/header/262749-1668168018.jpg?lm=1
Kepa Arrizabalaga,Arsenal,Kiper,31,"Rp139,05Mlyr.",Spanyol,0,0,383,https://img.a.transfermarkt.technology/portrait/header/192279-1661855851.jpg?lm=1
William Saliba,Arsenal,Bek-Tengah,24,"Rp1.390,53Mlyr.",Prancis,8,3,267,https://img.a.transfermarkt.technology/portrait/header/495666-1718697201.jpg?lm=1
Gabriel Magalhães,Arsenal,Bek-Tengah,27,"Rp1.303,62Mlyr.",Brasil,28,7,336,https://img.a.transfermarkt.technology/portrait/header/435338-1684162833.jpg?lm=1
Piero Hincapié,Arsenal,Bek-Tengah,23,"Rp869,08Mlyr.",Ekuador,7,5,197,https://img.a.transfermarkt.technology/portrait/header/659813-1727377918.jpg?lm=1
Cristhian Mosquera,Arsenal,Bek-Tengah,21,"Rp608,36Mlyr.",Spanyol,1,0,109,https://img.a.transfermarkt.technology/portrait/header/646750-1749739359.jpg?lm=1
Myles Lewis-Skelly,Arsenal,Bek-Kiri,19,"Rp782,17Mlyr.",Inggris,6,10,95,https://img.a.transfermarkt.technology/portrait/header/890721-1758053582.jpg?lm=1
Riccardo Calafiori,Arsenal,Bek-Kiri,23,"Rp695,27Mlyr.",Italia,13,17,167,https://img.a.transfermarkt.technology/portrait/header/502821-1727382174.jpg?lm=1
Jurriën Timber,Arsenal,Bek-Kanan,24,"Rp1.042,90Mlyr.",Belanda,17,14,295,https://img.a.transfermarkt.technology/portrait/header/420243-1702413077.jpg?lm=1
Ben White,Arsenal,Bek-Kanan,28,"Rp660,50Mlyr.",Inggris,10,23,363,https://img.a.transfermarkt.technology/portrait/header/335721-1683275943.jpg?lm=1
Martín Zubimendi,Arsenal,Gel. Bertahan,26,"Rp1.216,71Mlyr.",Spanyol,16,10,297,https://img.a.transfermarkt.technology/portrait/header/423440-1684149419.jpg?lm=1
Christian Nørgaard,Arsenal,Gel. Bertahan,31,"Rp191,20Mlyr.",Denmark,31,28,392,https://img.a.transfermarkt.technology/portrait/header/148367-1699799827.jpg?lm=1
Declan Rice,Arsenal,Gel. Tengah,26,"Rp2.085,80Mlyr.",Inggris,32,38,394,https://img.a.transfermarkt.technology/portrait/header/357662-1687962936.jpg?lm=1
Mikel Merino,Arsenal,Gel. Tengah,29,"Rp608,36Mlyr.",Spanyol,46,41,398,https://img.a.transfermarkt.technology/portrait/header/338424-1716803831.jpg?lm=1
Martin Ødegaard,Arsenal,Gel. Serang,26,"Rp1.390,53Mlyr.",Norwegia,72,82,421,https://img.a.transfermarkt.technology/portrait/header/316264-1678877651.jpg?lm=1
Eberechi Eze,Arsenal,Gel. Serang,27,"Rp1.129,81Mlyr.",Inggris,66,43,315,https://img.a.transfermarkt.technology/portrait/header/479999-1761083931.jpg?lm=1
