nama_pemain,klub,posisi,umur,market_value,negara,jumlah_goal,jumlah_asis,jumlah_match
Robert Sánchez,Chelsea,Kiper,27,"Rp347,63Mlyr.",Spanyol,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Filip Jørgensen,Chelsea,Kiper,23,"Rp312,87Mlyr.",Denmark,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Gabriel Slonina,Chelsea,Kiper,21,"Rp60,84Mlyr.",Amerika Serikat,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Levi Colwill,Chelsea,Bek-Tengah,22,"Rp955,99Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Trevoh Chalobah,Chelsea,Bek-Tengah,26,"Rp556,21Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Wesley Fofana,Chelsea,Bek-Tengah,24,"Rp434,54Mlyr.",Prancis,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Tosin Adarabioyo,Chelsea,Bek-Tengah,28,"Rp347,63Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Benoît Badiashile,Chelsea,Bek-Tengah,24,"Rp347,63Mlyr.",Prancis,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Axel Disasi,Chelsea,Bek-Tengah,27,"Rp312,87Mlyr.",Prancis,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Josh Acheampong,Chelsea,Bek-Tengah,19,"Rp260,72Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Marc Cucurella,Chelsea,Bek-Kiri,27,"Rp782,17Mlyr.",Spanyol,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Jorrel Hato,Chelsea,Bek-Kiri,19,"Rp695,27Mlyr.",Belanda,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Reece James,Chelsea,Bek-Kanan,25,"Rp608,36Mlyr.",Inggris,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Malo Gusto,Chelsea,Bek-Kanan,22,"Rp608,36Mlyr.",Prancis,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
Moisés Caicedo,Chelsea,Gel. Bertahan,23,"Rp1.738,16Mlyr.",Ekuador,N/A (Lihat Catatan),N/A (Lihat Catatan),N/A (Lihat Catatan)
